generation,E_at,E_at_percentile,zvpe,zvpe_percentile,e_gap,e_gap_percentile,C_v,C_v_percentile,SMILES,coordList,functionalization
1,1013.730888,0.0,0.075677,0.0,0.255500,50.0,18.016000,0.0,OC1=NC=CN1,,[]
1,1405.032618,4.0,0.108668,12.0,0.254000,48.0,25.739000,6.0,CN1C(=N)COC1=O,,[]
1,1437.147925,6.0,0.097499,2.0,0.236100,36.0,32.430000,58.0,OC(C#C)C(=O)OC=N,,[]
1,1451.506597,8.0,0.104059,8.0,0.196500,14.0,26.296000,8.0,NC1=NCC2=C1ON=C2,,[]
1,1456.123184,10.0,0.099198,4.0,0.219800,26.0,29.801000,40.0,OC1C2C(C#C)N2C1=O,,[]
1,1483.182648,12.0,0.099560,6.0,0.190300,6.0,28.352000,20.0,O=C(C#N)C12CCC1O2,,[]
1,1485.946200,14.0,0.109220,14.0,0.247000,46.0,23.084000,2.0,O=C1OC2CC=CC12,,[]
1,1514.733824,16.0,0.121973,28.0,0.193700,10.0,28.000000,16.0,NC1=CC(N)=CN=C1,,[]
1,1515.546449,18.0,0.112577,16.0,0.174000,4.0,29.555000,38.0,CC1=C(O)C(=N)ON=C1,,[]
1,1543.552197,22.0,0.112988,20.0,0.173100,2.0,29.402000,32.0,CNC1=NC=C(O1)C=O,,[]
1,1588.782452,28.0,0.128620,34.0,0.152500,0.0,28.933000,24.0,O=CC(=O)CC1CC1,,[]
2,1013.730888,0.0,0.075677,0.7,0.255500,52.7,18.016000,0.0,OC1=NC=CN1,,[]
2,1160.455780,0.7,0.082132,2.7,0.191200,12.7,25.894000,6.0,COC1=C(O)N=NO1,,[]
2,1259.287268,2.0,0.070968,0.0,0.226500,33.3,29.648000,30.7,FC(F)(F)C#CCC=O,,[]
2,1364.153513,4.7,0.090678,3.3,0.182100,6.7,27.836000,14.0,NC1=CN=C(O)N=C1F,,[]
2,1395.189504,7.3,0.080108,1.3,0.172900,4.0,26.049000,6.7,N#CC#CC1=NC=CN1,,[]
2,1403.247354,8.0,0.101966,8.0,0.156900,2.0,30.334000,40.0,NC1=CON=C(N)C1=O,,[]
2,1405.032618,8.7,0.108668,12.0,0.254000,50.7,25.739000,5.3,CN1C(=N)COC1=O,,[]
2,1485.946200,13.3,0.109220,13.3,0.247000,47.3,23.084000,1.3,O=C1OC2CC=CC12,,[]
2,1556.146940,22.7,0.113631,19.3,0.225300,31.3,25.544000,4.7,O=CC12OC3CC1C2O3,,[]
2,1588.782452,25.3,0.128620,31.3,0.152500,1.3,28.933000,21.3,O=CC(=O)CC1CC1,,[]
2,1711.436709,42.0,0.138377,42.0,0.150200,0.7,29.270000,24.7,N1C=CC=CC=NC=C1,,[]
2,1749.192699,48.0,0.144599,44.7,0.149200,0.0,34.509000,75.3,CC1(C)NC1C(=O)C=O,,[]
3,1013.730888,0.0,0.075677,0.8,0.255500,50.0,18.016000,0.0,OC1=NC=CN1,,[]
3,1160.455780,0.4,0.082132,2.0,0.191200,11.2,25.894000,6.4,COC1=C(O)N=NO1,,[]
3,1259.287268,1.6,0.070968,0.0,0.226500,28.4,29.648000,33.2,FC(F)(F)C#CCC=O,,[]
3,1364.153513,5.2,0.090678,3.6,0.182100,6.4,27.836000,15.6,NC1=CN=C(O)N=C1F,,[]
3,1370.980816,6.4,0.089204,2.8,0.188500,8.8,27.042000,12.8,OCC1=NC(=O)OC=N1,,[]
3,1395.189504,7.6,0.080108,1.2,0.172900,4.4,26.049000,7.2,N#CC#CC1=NC=CN1,,[]
3,1403.247354,8.4,0.101966,8.8,0.156900,2.0,30.334000,42.4,NC1=CON=C(N)C1=O,,[]
3,1405.032618,9.2,0.108668,13.2,0.254000,48.8,25.739000,6.0,CN1C(=N)COC1=O,,[]
3,1415.783110,9.6,0.109580,14.4,0.226600,29.2,24.437000,2.4,OC1=CN2CCC2=N1,,[]
3,1456.017135,11.6,0.106641,10.4,0.234400,34.0,25.708000,5.6,C#CC12CC(O1)C=C2,,[]
3,1467.340544,13.2,0.112768,18.4,0.144900,0.4,26.553000,10.8,OC12C3C4C1CN=C2N34,,[]
3,1485.946200,15.6,0.109220,14.0,0.247000,43.6,23.084000,1.6,O=C1OC2CC=CC12,,[]
3,1511.074817,17.6,0.112026,16.4,0.134300,0.0,33.760000,71.6,CN(C=[NH2+])[C-](C#N)C#N,,[]
3,1556.146940,23.6,0.113631,19.2,0.225300,27.2,25.544000,5.2,O=CC12OC3CC1C2O3,,[]
4,1013.730888,0.0,0.075677,1.4,0.255500,51.7,18.016000,0.0,OC1=NC=CN1,,[]
4,1089.356447,0.3,0.062973,0.0,0.228500,30.3,22.463000,0.9,OC1=NC(=NN1)C#N,,[]
4,1092.098663,0.6,0.067380,0.3,0.278900,68.0,20.201000,0.3,O=C1OCC1C#N,,[]
4,1137.518427,0.9,0.072927,0.9,0.183200,8.0,21.706000,0.6,O=N(=O)C1=COC=C1,,[]
4,1171.464807,1.4,0.088215,3.1,0.179200,6.0,26.369000,9.7,NC(=O)C(=O)CO,,[]
4,1259.287268,3.1,0.070968,0.6,0.226500,27.4,29.648000,34.0,FC(F)(F)C#CCC=O,,[]
4,1271.157237,4.0,0.077509,1.7,0.158300,2.6,26.504000,10.6,OC1=NC(F)=COC1=N,,[]
4,1293.736283,4.3,0.091969,4.9,0.146600,0.6,27.649000,15.4,N=COCC(=O)C=O,,[]
4,1395.189504,9.1,0.080108,2.3,0.172900,4.6,26.049000,8.0,N#CC#CC1=NC=CN1,,[]
4,1467.340544,13.7,0.112768,17.7,0.144900,0.3,26.553000,11.4,OC12C3C4C1CN=C2N34,,[]
4,1511.074817,17.4,0.112026,16.0,0.134300,0.0,33.760000,72.0,CN(C=[NH2+])[C-](C#N)C#N,,[]
5,1013.730888,0.0,0.075677,1.6,0.255500,52.0,18.016000,0.0,OC1=NC=CN1,,[]
