generation,E_at,E_at_percentile,zvpe,zvpe_percentile,e_gap,e_gap_percentile,C_v,C_v_percentile,SMILES,coordList,functionalization
1,1013.730888,0.0,0.075677,0.0,0.255500,50.0,18.016000,0.0,OC1=NC=CN1,,[]
1,1405.032618,4.0,0.108668,12.0,0.254000,48.0,25.739000,6.0,CN1C(=N)COC1=O,,[]
1,1437.147925,6.0,0.097499,2.0,0.236100,36.0,32.430000,58.0,OC(C#C)C(=O)OC=N,,[]
1,1451.506597,8.0,0.104059,8.0,0.196500,14.0,26.296000,8.0,NC1=NCC2=C1ON=C2,,[]
1,1456.123184,10.0,0.099198,4.0,0.219800,26.0,29.801000,40.0,OC1C2C(C#C)N2C1=O,,[]
1,1483.182648,12.0,0.099560,6.0,0.190300,6.0,28.352000,20.0,O=C(C#N)C12CCC1O2,,[]
1,1485.946200,14.0,0.109220,14.0,0.247000,46.0,23.084000,2.0,O=C1OC2CC=CC12,,[]
1,1514.733824,16.0,0.121973,28.0,0.193700,10.0,28.000000,16.0,NC1=CC(N)=CN=C1,,[]
1,1515.546449,18.0,0.112577,16.0,0.174000,4.0,29.555000,38.0,CC1=C(O)C(=N)ON=C1,,[]
1,1543.552197,22.0,0.112988,20.0,0.173100,2.0,29.402000,32.0,CNC1=NC=C(O1)C=O,,[]
1,1588.782452,28.0,0.128620,34.0,0.152500,0.0,28.933000,24.0,O=CC(=O)CC1CC1,,[]
2,966.378395,0.0,0.072700,2.7,0.276700,86.0,21.164000,2.7,NC(=O)OC=N,,[]
2,1013.730888,0.7,0.075677,4.0,0.255500,79.3,18.016000,0.0,OC1=NC=CN1,,[]
2,1036.378960,1.3,0.063240,0.7,0.197600,27.3,19.775000,2.0,N1N=CC2=C1N=NO2,,[]
2,1071.702095,2.0,0.060965,0.0,0.202700,30.0,22.133000,3.3,O=C1NC=NOC1=O,,[]
2,1135.889412,2.7,0.073434,3.3,0.183000,16.7,23.535000,7.3,NC1=NC=NOC1=O,,[]
2,1180.270020,3.3,0.081975,4.7,0.214600,38.7,19.027000,1.3,OC1=NC=CC=N1,,[]
2,1223.755171,4.7,0.072117,2.0,0.189200,20.0,24.694000,11.3,OC1=C(OC=N1)C#C,,[]
2,1236.973658,5.3,0.097695,22.0,0.193800,24.0,18.812000,0.7,O=C1CCC=C1,,[]
2,1304.086424,9.3,0.096723,18.0,0.165600,8.7,23.986000,8.7,OCC1=NC=CN=N1,,[]
2,1325.938186,10.7,0.087664,6.7,0.170400,10.7,27.845000,36.0,OCC1=NC(=O)ON=C1,,[]
2,1336.160316,11.3,0.092722,12.0,0.177200,12.7,24.099000,9.3,C1NC=NC2=C1N=NO2,,[]
2,1351.915824,14.7,0.096079,16.7,0.148900,2.7,24.169000,10.7,O=C1CC2NC2C1=O,,[]
2,1380.152495,19.3,0.103025,33.3,0.132200,0.0,27.550000,32.7,NC1=[NH+]C2=C(C1)N=N[N-]2,,[]
2,1420.723492,27.3,0.089976,10.0,0.146700,1.3,26.689000,22.7,O=CC(=O)C1=CNC=N1,,[]
2,1588.857753,66.7,0.115369,60.0,0.142100,0.7,27.049000,28.7,OC1=CC=CC=NC1=N,,[]
3,843.073411,0.0,0.034056,0.0,0.208300,45.2,21.261000,4.0,O=C1ON=NOC1=O,,[]
3,956.530889,0.8,0.079045,20.0,0.323700,97.6,18.636000,1.2,OCCC#N,,[]
3,966.378395,1.2,0.072700,10.0,0.276700,90.0,21.164000,3.2,NC(=O)OC=N,,[]
3,1000.304695,1.6,0.070937,6.8,0.182100,21.2,20.460000,2.8,COC(=O)C=O,,[]
3,1010.486036,2.0,0.061015,2.4,0.195100,33.6,21.905000,5.6,OC1=NN(C=O)N=N1,,[]
3,1013.730888,2.4,0.075677,15.2,0.255500,84.8,18.016000,0.4,OC1=NC=CN1,,[]
3,1029.352109,2.8,0.071099,7.2,0.149600,4.0,23.237000,11.2,CN1N=NC(=O)N=N1,,[]
3,1036.378960,3.6,0.063240,3.6,0.197600,36.0,19.775000,2.4,N1N=CC2=C1N=NO2,,[]
3,1066.616759,4.4,0.070515,6.0,0.223800,62.0,17.897000,0.0,OC1=NC=NC=N1,,[]
3,1071.702095,5.2,0.060965,2.0,0.202700,40.0,22.133000,6.4,O=C1NC=NOC1=O,,[]
3,1091.105316,6.0,0.060241,1.2,0.200200,38.4,23.389000,12.0,OC1=NOC(=N1)C#C,,[]
3,1119.951926,6.8,0.073088,10.8,0.168600,14.0,23.135000,10.8,NC1=NN=C(F)N=C1,,[]
3,1122.850393,7.2,0.063909,4.4,0.204500,42.0,18.438000,0.8,O1C=NC2=C1N=CO2,,[]
3,1146.017415,8.8,0.053769,0.8,0.160700,8.8,24.384000,18.8,O=C1ON=C(C=N1)C#N,,[]
3,1161.555805,10.0,0.065892,5.2,0.194700,33.2,23.786000,14.8,CC#CC#CC#N,,[]
3,1180.212916,11.6,0.068228,5.6,0.169900,14.8,21.644000,4.8,O1N=CC2=NC=NC2=N1,,[]
3,1190.402415,13.2,0.062714,2.8,0.154600,5.6,26.827000,38.8,O=C1ON=NC(=O)C=C1,,[]
3,1236.973658,17.6,0.097695,47.2,0.193800,30.8,18.812000,1.6,O=C1CCC=C1,,[]
3,1280.413629,23.6,0.077650,18.0,0.144800,2.0,24.611000,20.4,O1N=NC2=CC=CC2=N1,,[]
3,1288.456418,25.6,0.080255,20.4,0.143300,1.6,25.589000,28.4,N=C1NN=C(C=N1)C#N,,[]
3,1351.915824,38.4,0.096079,41.6,0.148900,3.6,24.169000,17.6,O=C1CC2NC2C1=O,,[]
3,1380.152495,43.6,0.103025,58.0,0.132200,0.4,27.550000,47.2,NC1=[NH+]C2=C(C1)N=N[N-]2,,[]
3,1389.473521,46.0,0.101609,53.6,0.124200,0.0,29.395000,67.6,NC=[NH+]C1=C([O-])ON=C1,,[]
3,1588.857753,79.2,0.115369,75.2,0.142100,1.2,27.049000,42.0,OC1=CC=CC=NC1=N,,[]
