generation,E_at,E_at_percentile,zvpe,zvpe_percentile,e_gap,e_gap_percentile,C_v,C_v_percentile,SMILES,coordList,functionalization
1,1188.983616,0.0,0.077449,0.0,0.201600,10.0,26.937000,10.0,NC(C#N)C1=NON=N1,,[]
1,1336.166591,2.0,0.101615,6.0,0.188000,8.0,30.468000,44.0,NC=NC1=NON=C1N,,[]
1,1410.429827,10.0,0.103677,10.0,0.211400,24.0,26.295000,2.0,CC1=NNC2=NN=CN12,,[]
1,1474.896385,12.0,0.112792,16.0,0.168300,0.0,27.051000,12.0,C1CC1C1=CN=NN=N1,,[]
1,1487.741504,14.0,0.108940,12.0,0.208800,18.0,26.018000,0.0,NC1=CC=CC=C1F,,[]
2,855.199404,0.0,0.045968,0.0,0.115100,0.0,18.951000,0.7,O=CC(=O)C=O,,[]
2,1056.539584,2.0,0.087299,9.3,0.257700,75.3,17.470000,0.0,CN1N=CC=N1,,[]
3,855.199404,0.0,0.045968,0.4,0.115100,0.4,18.951000,1.6,O=CC(=O)C=O,,[]
3,857.027967,0.4,0.043532,0.0,0.284200,89.6,18.291000,1.2,OC1=NOC(=O)O1,,[]
3,857.729522,0.8,0.062456,5.2,0.196500,31.6,17.458000,0.0,NC1=CON=N1,,[]
3,974.680346,2.0,0.058518,3.2,0.241100,73.6,17.891000,0.8,N#CC1=NNN=C1,,[]
3,1369.256420,46.0,0.100077,50.8,0.090100,0.0,29.533000,66.0,NC=[NH+]C1=NOC=C1[O-],,[]
4,478.904563,0.0,0.017147,0.0,0.622100,99.7,12.639000,0.0,FC(F)(F)F,,[]
4,761.150167,0.3,0.079754,32.6,0.341700,97.4,13.546000,0.3,CCO,,[]
4,818.179483,0.6,0.043872,0.9,0.167200,9.4,16.536000,1.7,FC1=NC=NN=N1,,[]
4,855.199404,0.9,0.045968,1.1,0.115100,0.3,18.951000,4.0,O=CC(=O)C=O,,[]
4,857.027967,1.1,0.043532,0.6,0.284200,86.3,18.291000,3.7,OC1=NOC(=O)O1,,[]
4,877.305308,2.0,0.069125,15.7,0.285100,86.6,15.572000,1.1,N#CC1CN1,,[]
4,948.194426,3.1,0.080558,32.9,0.290700,89.1,15.510000,0.9,N=C1CCO1,,[]
4,956.906767,3.4,0.081779,34.6,0.272000,83.1,14.168000,0.6,C1CN=CO1,,[]
4,1028.408334,5.7,0.036026,0.3,0.178900,18.9,23.569000,21.1,O=C(C#N)C#CC#N,,[]
4,1369.256420,53.1,0.100077,58.3,0.090100,0.0,29.533000,72.9,NC=[NH+]C1=NOC=C1[O-],,[]
5,478.904563,0.0,0.017147,0.0,0.622100,99.8,12.639000,0.0,FC(F)(F)F,,[]
5,761.150167,0.2,0.079754,34.4,0.341700,97.1,13.546000,0.2,CCO,,[]
5,783.223440,0.4,0.027023,0.2,0.211300,46.4,17.827000,4.2,N#CC#CC#N,,[]
5,795.631812,0.7,0.042706,0.9,0.172100,13.6,17.150000,3.1,FC1=CN=NN=N1,,[]
5,798.442427,0.9,0.055704,5.3,0.219100,54.7,15.692000,1.6,O=CNC=O,,[]
5,807.956098,1.1,0.033974,0.4,0.158400,6.4,21.297000,11.3,FC1=NON=NC1=O,,[]
5,818.179483,1.3,0.043872,1.3,0.167200,10.4,16.536000,2.2,FC1=NC=NN=N1,,[]
5,855.199404,1.8,0.045968,1.6,0.115100,0.2,18.951000,5.6,O=CC(=O)C=O,,[]
5,877.305308,3.1,0.069125,17.3,0.285100,85.6,15.572000,1.1,N#CC1CN1,,[]
5,948.194426,4.4,0.080558,34.9,0.290700,88.2,15.510000,0.9,N=C1CCO1,,[]
5,956.906767,4.7,0.081779,36.2,0.272000,82.2,14.168000,0.4,C1CN=CO1,,[]
5,1369.256420,54.4,0.100077,59.3,0.090100,0.0,29.533000,72.7,NC=[NH+]C1=NOC=C1[O-],,[]
6,478.904563,0.0,0.017147,0.0,0.622100,99.8,12.639000,0.2,FC(F)(F)F,,[]
6,695.742344,0.2,0.045382,1.5,0.242200,70.7,11.821000,0.0,O1C=CN=N1,,[]
6,783.223440,0.5,0.027023,0.2,0.211300,46.2,17.827000,4.2,N#CC#CC#N,,[]
6,795.631812,0.7,0.042706,0.7,0.172100,13.3,17.150000,3.3,FC1=CN=NN=N1,,[]
6,798.442427,0.9,0.055704,6.2,0.219100,53.3,15.692000,1.5,O=CNC=O,,[]
6,807.956098,1.1,0.033974,0.4,0.158400,6.5,21.297000,12.2,FC1=NON=NC1=O,,[]
6,818.179483,1.3,0.043872,1.3,0.167200,10.4,16.536000,2.0,FC1=NC=NN=N1,,[]
6,855.199404,2.0,0.045968,1.6,0.115100,0.4,18.951000,5.8,O=CC(=O)C=O,,[]
6,1369.256420,55.1,0.100077,59.3,0.090100,0.0,29.533000,74.9,NC=[NH+]C1=NOC=C1[O-],,[]
6,1696.891039,83.5,0.138486,83.5,0.114500,0.2,24.968000,34.4,C1C2C3OC4C3C1=CC24,,[]
7,478.904563,0.0,0.017147,0.0,0.622100,99.8,12.639000,0.3,FC(F)(F)F,,[]
7,542.643210,0.2,0.045279,1.4,0.284500,82.8,10.890000,0.0,NC=O,,[]
7,695.742344,0.3,0.045382,1.5,0.242200,68.8,11.821000,0.2,O1C=CN=N1,,[]
7,724.694376,0.5,0.033373,0.3,0.318800,92.8,18.453000,5.8,FC(F)(F)C#C,,[]
7,783.223440,0.8,0.027023,0.2,0.211300,44.6,17.827000,4.5,N#CC#CC#N,,[]
7,795.631812,0.9,0.042706,0.8,0.172100,13.1,17.150000,3.5,FC1=CN=NN=N1,,[]
7,798.442427,1.1,0.055704,6.3,0.219100,51.8,15.692000,1.7,O=CNC=O,,[]
7,806.469528,1.2,0.056288,6.6,0.166800,9.8,18.324000,5.7,N=C1N=NNN=N1,,[]
7,807.956098,1.4,0.033974,0.5,0.158400,6.5,21.297000,12.6,FC1=NON=NC1=O,,[]
7,818.179483,1.5,0.043872,1.2,0.167200,10.5,16.536000,2.2,FC1=NC=NN=N1,,[]
7,855.199404,2.2,0.045968,1.7,0.115100,0.3,18.951000,6.5,O=CC(=O)C=O,,[]
7,1369.256420,53.2,0.100077,57.5,0.090100,0.0,29.533000,74.0,NC=[NH+]C1=NOC=C1[O-],,[]
7,1696.891039,80.8,0.138486,80.8,0.114500,0.2,24.968000,35.4,C1C2C3OC4C3C1=CC24,,[]
8,478.904563,0.0,0.017147,0.0,0.622100,99.9,12.639000,0.3,FC(F)(F)F,,[]
8,542.643210,0.1,0.045279,1.3,0.284500,81.3,10.890000,0.0,NC=O,,[]
8,695.742344,0.3,0.045382,1.5,0.242200,66.5,11.821000,0.1,O1C=CN=N1,,[]
8,724.694376,0.5,0.033373,0.3,0.318800,92.3,18.453000,5.9,FC(F)(F)C#C,,[]
8,783.223440,1.1,0.027023,0.1,0.211300,43.1,17.827000,4.7,N#CC#CC#N,,[]
8,791.514095,1.2,0.054577,5.3,0.177000,15.3,17.525000,4.3,NC(=O)C=O,,[]
8,795.631812,1.3,0.042706,0.7,0.172100,12.1,17.150000,3.5,FC1=CN=NN=N1,,[]
8,798.442427,1.6,0.055704,6.1,0.219100,50.3,15.692000,1.9,O=CNC=O,,[]
8,806.469528,1.7,0.056288,6.4,0.166800,9.3,18.324000,5.7,N=C1N=NNN=N1,,[]
8,807.956098,1.9,0.033974,0.4,0.158400,6.4,21.297000,12.0,FC1=NON=NC1=O,,[]
8,818.179483,2.0,0.043872,1.2,0.167200,9.9,16.536000,2.3,FC1=NC=NN=N1,,[]
8,855.199404,2.5,0.045968,1.6,0.115100,0.3,18.951000,6.4,O=CC(=O)C=O,,[]
